Seorang	NND
ragam	NN
program	NN
rudal	NN
China	NNP
.	Z
Laporan	NN
juga	RB
mengatakan	VB
,	Z
bahwa	SC
penggelaran	NN
rudal	NN
China	NNP
yang	SC
ditujukan	VB
ke	IN
Taiwan	NNP
masih	MD
meningkat	VB
,	Z
dan	CC
tidak	NEG
menunjukkan	VB
tanda-tanda	NN
segera	RB
berakhir	VB
.	Z
Menteri	NNP
Luar	NNP
Negeri	NNP
Amerika	NNP
Serikat	NNP
,	Z
Condoleezza	NNP
Rice	NNP
yang	SC
melakukan	VB
kunjungan	NN
diam-diam	RB
(	Z
tak	NEG
diumumkan	VB
)	Z
ke	IN
Baghdad	NNP
Sabtu	NNP
,	Z
tiba	VB
di sini	PR
pada	IN
saat	NN
pasukan	NN
Amerika	NNP
dan	CC
Irak	NNP
melakukan	VB
penumpasan	NN
baru	JJ
pertama	OD
terhadap	IN
para	DT
milisi	NN
di	IN
ibu kota	NN
Irak	NNP
.	Z
Seorang	NND
pejabat	NN
kedutaan	NNP
besar	NNP
AS	NNP
mengatakan	VB
,	Z
Rice	NNP
diperkirakan	VB
akan	MD
bertemu	VB
dengan	SC
berbagai	CD
pejabat	NN
selama	IN
kunjungan	NN
-nya	PRP
tersebut	PR
.	Z
Diplomat	NN
tertinggi	JJ
AS	NNP
itu	PR
dijadwalkan	VB
akan	MD
bertemu	VB
dengan	SC
Perdana	NNP
Menteri	NNP
Israel	NNP
,	Z
Ehud	NNP
Olmert	NNP
dan	CC
Presiden	NNP
Palestina	NNP
,	Z
Mahmoud	NNP
Abbas	NNP
,	Z
di	IN
Jerusalem	NNP
Senin	NNP
.	Z
Dia	PRP
tiba	VB
di	IN
Baghdad	NNP
sehari	NN
setelah	SC
Dewan	NNP
Perwakilan	NNP
AS	NNP
mengecam	VB
keputusan	NN
Presiden	NNP
George	NNP
W.	NNP
Bush	NNP
untuk	SC
mengirimkan	VB
tentara	NN
tambahan	NN
untuk	SC
membantu	VB
serangan	NN
Baghdad	NNP
.	Z
Tindakan	NN
itu	PR
dipandang	VB
sebagai	IN
simbol	NN
penentangan	NN
terhadap	IN
kebijakan	NN
perang	NN
Bush	NNP
yang	SC
tidak	NEG
populer	JJ
.	Z
Di	IN
Baghdad	NNP
,	Z
pasukan	NN
AS	NNP
dan	CC
Irak	NNP
melakukan	VB
operasi	NN
seluruh	CD
kota	NN
dan	CC
mendapat	VB
penentangan	NN
kecil	JJ
,	Z
sebagai	IN
operasi	NN
yang	SC
dipandang	VB
sebagai	IN
usaha	NN
terakhir	OD
untuk	SC
memadamkan	VB
kekerasan	NN
sektarian	JJ
yang	SC
mengancam	VB
merusak	VB
sebagian	CD
Irak	NNP
.	Z
Perdana	NNP
Menteri	NNP
Irak	NNP
,	Z
Nuri	NNP
al-Maliki	NNP
,	Z
di bawah	VB
tekanan	NN
berat	JJ
AS	NNP
menunjukkan	VB
kemajuan	NN
,	Z
kata	VB
Bush	NNP
Jumat	NNP
,	Z
bahwa	SC
upaya	NN
tersebut	PR
sejauh	JJ
itu	PR
telah	MD
mencapai	VB
sukses	JJ
besar	JJ
.	Z
Bush	NNP
juga	RB
mengatakan	VB
,	Z
bahwa	SC
AS	NNP
mempunyai	VB
kesabaran	NN
yang	SC
tidak	NEG
tak	NEG
terbatas	VB
.	Z
Kekerasan	NN
telah	MD
menurun	VB
di	IN
Baghdad	NNP
pada	IN
saat	NN
ribuan	CD
tentara	NN
AS	NNP
dan	CC
Irak	NNP
membanjiri	VB
ke	IN
dalam	NN
kota	NN
,	Z
namun	CC
demikian	PR
hal	NN
itu	PR
tampaknya	RB
sementara	SC
,	Z
karena	SC
para	DT
pemberontak	NN
bisa	MD
memanfaatkan	VB
situasi	NN
,	Z
kata	VB
Mayor	NNP
Jenderal	NNP
Joseph	NNP
Fil	NNP
,	Z
komandan	NN
pasukan	NN
AS	NNP
di	IN
Baghdad	NNP
.	Z
Ledakan	NN
yang	SC
mungkin	MD
disebabkan	VB
bom	NN
di	IN
sebuah	NND
restoran	NN
MacDonald	NNP
di	IN
kota	NN
kedua	OD
Rusia	NNP
St	NNP
Petersburg	NNP
,	Z
Minggu	NNP
,	Z
mencederai	VB
sedikit	CD
-nya	PRP
lima	CD
orang	NN
,	Z
kata	VB
beberapa	CD
pejabat	NN
.	Z
Seorang	NND
juru bicara	NN
kepolisian	NN
mengatakan	VB
kepada	IN
Reuters	NNP
,	Z
ada	VB
ledakan	NN
di	IN
restoran	NN
di	IN
Nevsky	NNP
Prospect	NNP
,	Z
jalan utama	NN
di	IN
kota	NN
itu	PR
,	Z
dan	CC
lima	CD
orang	NN
cedera	JJ
.	Z
Polisi	NN
menyatakan	VB
bahwa	SC
menurut	IN
informasi	NN
awal	NN
,	Z
ledakan	NN
itu	PR
disebabkan	VB
oleh	IN
bom	NN
,	Z
namun	CC
juru bicara	NN
itu	PR
belum	NEG
bisa	MD
memastikan	VB
jenis	NN
bom	NN
tersebut	PR
.	Z
Kantor	NNP
Berita	NNP
Rusia	NNP
Interfax	NNP
mengutip	VB
badan	NN
penanganan	NN
darurat	NN
yang	SC
mengatakan	VB
bahwa	SC
enam	CD
orang	NN
mengalami	VB
gegar otak	NN
,	Z
luka bakar	NN
dan	CC
cedera	JJ
akibat	NN
serpihan	NN
bom	NN
.	Z
Pemberontak	NN
anti	JJ
-	Z
Moskow	NNP
yang	SC
terkait	VB
dengan	IN
kawasan	NN
separatis	NN
Chechnya	NNP
Rusia	NNP
meningkatkan	VB
serangan	NN
bom	NN
terhadap	IN
warga	NN
sipil	JJ
di	IN
Rusia	NNP
,	Z
namun	CC
tidak	NEG
ada	VB
serangan	NN
besar	JJ
di	IN
luar	NN
wilayah	NN
Kaukasus	NNP
Utara	NNP
itu	PR
selama	IN
lebih	RB
dari	IN
dua	CD
tahun	NN
.	Z
Partai	NNP
Kongres	NNP
untuk	NNP
Demokrasi	NNP
yang	SC
berkuasa	VB
di	IN
Lesotho	NNP
mulai	VB
meninggalkan	VB
pesaing-pesaing	NN
-nya	PRP
dalam	IN
penghitungan	NN
suara	NN
lanjutan	NN
Senin	NNP
,	Z
setelah	SC
pemilihan umum	NN
akhir	NN
pekan	NN
lalu	CC
di	IN
kerajaan	NN
pegunungan	NN
Afrika	NNP
selatan	NN
,	Z
kata	VB
panitia pelaksana	NN
pemilu	NN
tersebut	PR
.	Z
Partai	NNP
Perdana	NNP
Menteri	NNP
Pakalitha	NNP
Mosisili	NNP
tersebut	PR
memenangkan	VB
18	CD
dari	IN
31	CD
konstituen	NN
,	Z
sementara	X
sementara	SC
partai	NNP
mantan	NNP
Menteri	NNP
Luar	NNP
Negeri	NNP
Tom	NNP
Thabane	NNP
,	Z
Konvensi	NNP
Seluruh	NNP
Basotho	NNP
(	Z
ABC	NNP
)	Z
beranjak	VB
di	IN
peringkat	NN
kedua	OD
dengan	IN
12	CD
kursi	NN
,	Z
kata	VB
juru bicara	NN
komisi	NNP
pemilihan	NNP
independen	NNP
,	Z
Rethabile	NNP
Pholo	NNP
kepada	IN
AFP	NNP
.	Z
Satu	CD
aliansi	NN
partai-partai	NN
kecil	JJ
berhasil	VB
merebut	VB
satu	CD
kursi	NN
setelah	SC
pemilihan	NN
Sabtu	NNP
,	Z
tambah	VB
Pholo	NNP
.	Z
Sejumlah	CD
80	CD
anggota	NN
parlemen	NN
akan	MD
dipilih	VB
langsung	RB
di	IN
daerah-daerah	NN
pemilihan	NN
,	Z
sedangkan	CC
40	CD
lain	JJ
-nya	PRP
akan	MD
dipilih	VB
melalui	VB
perwakilan	NN
proporsional	JJ
.	Z
Para	DT
pengamat	NN
dari	IN
Masyarakat	NN
Pembangunan	NN
Afrika	NNP
Selatan	NNP
(	Z
SADC	NNP
)	Z
mengatakan	VB
,	Z
pemberian	NN
suara	NN
pada	IN
umum	JJ
-nya	PRP
bersih	JJ
dan	CC
sehat	JJ
,	Z
namun	CC
ada	VB
catatan	NN
keluhan	NN
pada	IN
kontestan	NN
Thabane	NNP
.	Z
Mantan	JJ
menteri	NN
luar negeri	NN
ini	PR
,	Z
yang	SC
mundur	VB
dari	IN
kabinet	NN
dan	CC
membentuk	VB
ABC	NNP
pada	IN
akhir	NN
tahun	NN
lalu	CC
,	Z
diklaim	VB
oleh	IN
beberapa	CD
pendukung	NN
-nya	PRP
telah	MD
mendapati	VB
absen	NN
nama-nama	NN
mereka	PRP
dari	IN
daftar	NN
di	IN
daerah pemilihan	NN
dan	CC
dicurigai	VB
ada	VB
beberapa	CD
suara	NN
kembar	JJ
di sana	PR
.	Z
Pada	IN
saat	NN
posko	NN
-nya	PRP
berusaha	VB
menghimpun	VB
komplain-komplain	NN
itu	PR
dengan	SC
komisi	NN
pemilihan	NN
independen	JJ
,	Z
perwakilan	NN
mereka	PRP
ditemukan	VB
di mana-mana	RB
,	Z
kata	VB
-nya	PRP
.	Z
Pemilihan	NN
umum	JJ
yang	SC
disengketakan	VB
pada	IN
tahun	NN
1998	CD
,	Z
ketika	SC
Mosisili	NNP
pertama	OD
kali	NND
naik	VB
ke	IN
kekuasaan	NN
,	Z
juga	RB
mengakibatkan	VB
protes	NN
besar	JJ
yang	SC
hanya	RB
bisa	MD
diatasi	VB
pada	IN
saat	NN
militer	NN
Afrika	NNP
Selatan	NNP
dan	CC
Boswana	NNP
ikut	VB
-	Z
campur tangan	VB
di	IN
kerajaan	NN
pegunungan	NN
yang	SC
mungil	JJ
itu	PR
.	Z
Afrika	NNP
Bersatu	NNP
pada	IN
Rabu	NNP
secara	IN
resmi	JJ
membentuk	VB
pasukan	NN
penjaga	NN
perdamaian	NN
terdiri	VB
atas	IN
lebih	RB
dari	IN
1.500	CD
tentara	NN
Afrika	NNP
Selatan	NNP
untuk	IN
Burundi	NNP
guna	SC
membantu	VB
menyatukan	VB
gerakan	NN
giat	JJ
terakhir	OD
pemberontak	NN
di	IN
negara	NN
itu	PR
.	Z
Badan	NN
se-Afrika	NN
itu	PR
mengambil alih	VB
kepemimpinan	NN
dari	IN
Perserikatan	NNP
Bangsa-Bangsa	NNP
untuk	SC
memudahkan	VB
penyatuan	NN
Pasukan	NNP
Pembebasan	NNP
Bangsa	NNP
(	Z
FNL	NNP
)	Z
ke	IN
alur	NN
perdamaian	NN
lebih	RB
luas	JJ
.	Z
Kesatuan	NN
itu	PR
akan	MD
melibatkan	VB
sekitar	IN
1.500	CD
tentara	NN
Afrika	NNP
Selatan	NNP
dan	CC
memegang	VB
amanat	NN
untuk	IN
enam	CD
bulan	NN
,	Z
kata	VB
Mamadou	NNP
Bah	NNP
,	Z
wakil	NNP
Afrika	NNP
Bersatu	NNP
di	IN
Burundi	NNP
,	Z
kepada	IN
wartawan	NN
.	Z
Kami	PRP
mesti	MD
melakukan	VB
segalanya	RB
agar	SC
penyatuan	NN
FNL	NNP
berakhir	VB
dalam	IN
kelambatan	NN
ini	PR
,	Z
kata	VB
-nya	PRP
.	Z
Bah	NNP
menandatangani	VB
persetujuan	NN
dengan	IN
Menteri	NNP
Luar	NNP
Negeri	NNP
Burundi	NNP
Antoinette	NNP
Batumubwira	NNP
untuk	IN
pembentukan	NN
pasukan	NN
Afrika	NNP
Bersatu	NNP
itu	PR
sejalan	NN
dengan	IN
gencatan senjata	NN
7	CD
September	NNP
,	Z
yang	SC
masih	MD
harus	MD
dilaksanakan	VB
sepenuhnya	JJ
,	Z
sekalipun	SC
pertempuran	NN
sudah	MD
berhenti	VB
.	Z
Pada	IN
Desember	NNP
,	Z
768	CD
tentara	NN
penjagaan	NN
perdamaian	NN
Perserikatan	NNP
Bangsa-Bangsa	NNP
Afrika	NNP
Selatan	NNP
di	IN
Burundi	NNP
dipindahkan	VB
di bawah	VB
kewenangan	NN
Afrika	NNP
Bersatu	NNP
.	Z
Afrika	NNP
Selatan	NNP
pekan	NN
lalu	CC
setuju	VB
menempatkan	VB
1.100	CD
tentara	NN
lagi	RB
sebagai	IN
bagian	NN
satuan tugas	NN
khusus	JJ
Afrika	NNP
Bersatu	NNP
di	IN
Burundi	NNP
.	Z
Perang	NN
saudara	NN
di	IN
negara	NN
kecil	JJ
itu	PR
mengadu	VB
tentara	NN
,	Z
yang	SC
sampai	IN
baru-baru ini	RB
dikuasai	VB
suku	NN
kecil	JJ
Tutsi	NNP
,	Z
melawan	VB
berbagai	CD
gerakan	NN
pemberontak	NN
Hutu	NNP
.	Z
Uni	NNP
Afrika	NNP
(	Z
AU	NNP
)	Z
terganggu	VB
oleh	IN
serangan	NN
terhadap	IN
personel	NN
pemelihara	NN
perdamaian	NN
-nya	PRP
di	IN
Somalia	NNP
dan	CC
negara	NN
anggota	NN
-nya	PRP
akan	MD
berkonsultasi	VB
mengenai	IN
situasi	NN
tersebut	PR
,	Z
kata	VB
Ketua	NNP
AU	NNP
John	NNP
Kufuor	NNP
,	Z
Rabu	NNP
.	Z
Patut	JJ
disayangkan	VB
bahwa	SC
kontingen	NN
pertama	OD
tentara	NN
yang	SC
telah	MD
diberangkatkan	VB
ke	IN
sana	PR
telah	MD
disambut	VB
dengan	SC
tembakan	NN
,	Z
kata	VB
Kufuor	NNP
dalam	IN
suatu	CD
taklimat	NN
di	IN
London	NNP
.	Z
Itu	PR
mengecilkan	VB
hati	NN
dan	CC
Uni	NNP
Afrika	NNP
agak	RB
terganggu	VB
,	Z
kata	VB
Kufuor	NNP
,	Z
yang	SC
juga	RB
adalah	VB
Presiden	NNP
Ghana	NNP
.	Z
Lebih	RB
dari	IN
1	CD
prajurit	NN
Uganda	NNP
mendarat	VB
di	IN
ibu kota	NN
Somalia	NNP
,	Z
Mogadishu	NNP
,	Z
pekan	NN
lalu	CC
,	Z
barisan depan	NN
dari	IN
pasukan	NN
AU	NNP
dengan	SC
8.000	CD
personel	NN
yang	SC
dirancang	VB
untuk	SC
membantu	VB
pemerintah	NN
rapuh	JJ
Somalia	NNP
memulihkan	VB
ketenangan	NN
di	IN
negara	NN
yang	SC
kacau	JJ
itu	PR
.	Z
Namun	CC
tentara	NN
Uganda	NNP
telah	MD
diserang	VB
sejak	IN
mendarat	VB
dan	CC
dua	CD
personel	NN
cedera	JJ
dalam	IN
penyergapan	NN
sehari	NN
setelah	SC
mereka	PRP
mendarat	VB
.	Z
Banyak	CD
pengulas	NN
menyatakan	VB
tentara	NN
AU	NNP
menjadi	VB
sasaran	NN
karena	SC
mereka	PRP
dipandang	VB
mendukung	VB
pemerintah	NN
yang	SC
memiliki	VB
banyak	CD
musuh	NN
di	IN
Mogadishu	NNP
.	Z
Saya	PRP
berharap	VB
Uni	NNP
Afrika	NNP
tak	NEG
kan	MD
berhenti	VB
berusaha	VB
dalam	IN
membantu	VB
Somalia	NNP
menemukan	VB
cara	NN
damai	JJ
mewujudkan	VB
perdamaian	NN
,	Z
kata	VB
Kufuor	NNP
selama	IN
kunjungan	NN
kenegaraan	NN
ke	IN
Inggris	NNP
.	Z
Itu	PR
lah	RP
yang	SC
ingin	RB
saya	PRP
katakan	VB
sekarang	NN
.	Z
Tentu	RB
saja	RB
,	Z
konsultasi	NN
sedang	MD
berlangsung	VB
di	IN
kalangan	NN
anggota	NN
perserikatan	NN
,	Z
dan	CC
antara	IN
saya	PRP
sebagai	IN
ketua	NN
dan	CC
sekretariat	NN
,	Z
kata	VB
-nya	PRP
.	Z
Negara	NNP
Tanduk	NNP
Afrika	NNP
tersebut	PR
terperosok	VB
ke	IN
dalam	NN
kekacauan	NN
setelah	SC
Mohamed	NNP
Siad	NNP
Barret	NNP
digulingkan	VB
pada	IN
1991	CD
,	Z
dan	CC
semua	CD
13	CD
upaya	NN
terdahulu	JJ
untuk	SC
menciptakan	VB
pemerintah pusat	NN
yang	SC
efektif	JJ
gagal	JJ
.	Z
Kufuor	NNP
menekankan	VB
Ghana	NNP
telah	MD
menyampaikan	VB
komitmen	NN
agar	SC
pasukan	NN
AU	NNP
tidak	NEG
ikut campur	VB
di	IN
Somalia	NNP
tapi	CC
membantu	VB
saudara	NN
negara	NN
Afrika	NNP
berusaha	VB
mewujudkan	VB
kondisi	NN
normal	JJ
melalui	VB
pemeliharaan	NN
perdamaian	NN
.	Z
Pesawat	NN
perang	NN
NATO	NNP
yang	SC
dipanggil	VB
oleh	IN
militer	NN
Afghanistan	NNP
Senin	NNP
melalukan	VB
pengeboman	NN
dan	CC
menewaskan	VB
19	CD
anggota	NN
kelompok	NN
militan	JJ
di	IN
Afghanistan	NNP
selatan	NNP
,	Z
sehingga	SC
menambah	VB
jumlah	NN
korban	NN
tewas	VB
pada	IN
operasi	NN
hari	NN
keempat	OD
menjadi	VB
99	CD
orang	NN
,	Z
kata	VB
kementerian	NNP
pertahanan	NNP
Senin	NNP
.	Z
Sembilan	CD
belas	CD
orang	NN
tewas	VB
di	IN
provinsi	NN
selatan	NN
Helmand	NNP
Ahad	NNP
,	Z
kata	VB
kementerian	NNP
pertahanan	NNP
dalam	IN
pernyataan	NN
-nya	PRP
.	Z
Militer	NN
Afghanistan	NNP
melancarkan	VB
penyisiran	NN
di	IN
daerah	NNP
Gereshk	NNP
provinsi	NN
tersebut	PR
Kamis	NNP
,	Z
atau	CC
bertepatan	VB
hari	NN
kedua	OD
pada	IN
tahun baru	NNP
Afghan	NNP
.	Z
Operasi	NNP
Nawrozi	NNP
(	Z
Tahun	NNP
Baru	NNP
)	Z
ini	PR
adalah	VB
pertama	OD
kali	NND
-nya	PRP
dilakukan	VB
secara	IN
besar-besaran	JJ
yang	SC
dilancarkan	VB
oleh	IN
pasukan	NN
Afghan	NNP
dengan	IN
dukungan	NN
angkatan udara	NN
NATO	NNP
,	Z
namun	CC
tidak	NEG
mengerahkan	VB
dukungan	NN
pasukan	NN
darat	NN
.	Z
Seorang	NND
prajurit	NN
Israel	NNP
yang	SC
diculik	VB
oleh	IN
pejuang	NN
Palestina	NNP
hampir	RB
sepuluh	CD
bulan	NN
lalu	CC
mungkin	MD
segera	RB
dibebaskan	VB
,	Z
kata	VB
Presiden	NNP
Palestina	NNP
Mahmoud	NNP
Abbas	NNP
,	Z
Jumat	NNP
.	Z
Saya	PRP
optimis	NN
ia	PRP
akan	MD
segera	RB
bebas	JJ
,	Z
kata	VB
Abbas	NNP
kepada	IN
televisi	NN
France	NNP
24	CD
.	Z
Kopral	NNP
Gilad	NNP
Shalit	NNP
diculik	VB
pada	IN
25	CD
Juni	NNP
selama	IN
penyerbuan	NN
lintas	NN
-	Z
batas	NN
yang	SC
dilakukan	VB
tiga	CD
kelompok	NN
garis keras	NN
Palestina	NNP
terhadap	IN
sebuah	NND
pos	NN
militer	NN
Israel	NNP
di	IN
dekat	JJ
Jalur	NNP
Gaza	NNP
.	Z
Upaya	NN
gencar	JJ
dengan	IN
bantuan	NN
penengahan	NN
Mesir	NNP
untuk	SC
membebaskan	VB
prajurit	NN
Israel	NNP
itu	PR
sejauh	JJ
ini	PR
tidak	NEG
membuahkan	VB
hasil	NN
meski	SC
sebelumnya	SC
telah	MD
ada	VB
pernyataan-pernyataan	NN
optimis	NN
.	Z
Shalit	NNP
diyakini	VB
ditahan	VB
di	IN
Jalur	NNP
Gaza	NNP
.	Z
Sebuah	NND
harian	NN
Arab	NNP
-	NNP
Israel	NNP
yang	SC
berpusat	VB
di	IN
Nazareth	NNP
melaporkan	VB
,	Z
Jumat	NNP
,	Z
dua	CD
pekan	NN
lalu	CC
Shalit	NNP
menerima	VB
kacamata	NN
,	Z
yang	SC
diberikan	VB
kepada	IN
Mesir	NNP
dua	CD
bulan	NN
lalu	CC
dan	CC
diserahkan	VB
kepada	IN
prajurit	NN
itu	PR
melalui	VB
delegasi	NN
Mesir	NNP
yang	SC
merundingkan	VB
pembebasan	NN
-nya	PRP
.	Z
Seorang	NND
juru bicara	NN
pejuang	NN
garis keras	NN
Komite	NNP
Perlawanan	NNP
Rakyat	NNP
,	Z
salah satu	CD
pihak	NN
yang	SC
diyakini	VB
menahan	VB
prajurit	NN
itu	PR
,	Z
menolak	VB
mengkonfirmasi	VB
laporan	NN
tersebut	PR
,	Z
yang	SC
muncul	VB
di	IN
harian	NN
a	NNP
-	NNP
Sinara	NNP
.	Z
Helikopter-helikopter	NN
Israel	NNP
menyerang	VB
Jalur	NNP
Gaza	NNP
,	Z
Sabtu	NNP
,	Z
menewaskan	VB
seorang	NND
pejuang	NN
Palestina	NNP
dalam	IN
apa	WH
yang	SC
disebut	VB
penduduk	NN
Israel	NNP
adalah	VB
baku tembak	NN
terseru	JJ
antara	IN
pasukan	NN
Israel	NNP
dan	CC
para	DT
pejuang	NN
sejak	IN
gencatan senjata	NN
November	NNP
.	Z
Penduduk	NN
mengatakan	VB
helikopter-helikopter	NN
itu	PR
melepaskan	VB
tembakan	NN
dua	CD
rudal	NN
ke	IN
para	DT
pejuang	NN
Palestina	NNP
dekat	JJ
kamp	NN
pengungsi	NN
Jabalya	NNP
.	Z
Seorang	NND
juru bicara	NN
militer	NN
Israel	NNP
mengatakan	VB
helikopter-helikopter	NN
menembaki	VB
gerakan-gerakan	NN
yang	SC
mencurigai	VB
yang	SC
diidentifikasi	VB
beberapa	CD
kali	NND
dekat	JJ
pagar	NN
perbatasan	NN
di mana	SC
para	DT
pejuang	NN
beroperasi	VB
dan	CC
berusaha	VB
menanam	VB
bom-bom	NN
.	Z
Pada	IN
hari	NN
Senin	NNP
,	Z
Menteri	NNP
Pertahanan	NNP
Israel	NNP
Amir	NNP
Peretz	NNP
mengizinkan	VB
tentara	NN
melakukan	VB
operasi-operasi	NN
terbatas	VB
hanya	RB
di	IN
dalam	NN
daerah	NN
Gaza	NNP
terhadap	IN
para	DT
pejuang	NN
,	Z
kendatipun	SC
ada	VB
perjanjian	NN
gencatan senjata	NN
antara	IN
Israel	NNP
dan	CC
Palestina	NNP
November	NNP
tahun	NN
lalu	CC
.	Z
Sejumlah	CD
kelompok	NN
pejuang	NN
menembakkan	VB
roket-roket	NN
ke	IN
Israel	NNP
dari	IN
Jalur	NNP
Gaza	NNP
meskipun	SC
gencatan senjata	NN
itu	PR
,	Z
dan	CC
Peretz	NNP
mengatakan	VB
negara	NN
Yahudi	NNP
tidak	NEG
akan	MD
membiarkan	VB
para	DT
pejuang	NN
tetap	RB
kuat	JJ
dan	CC
dipersenjatai	VB
,	Z
di	IN
Jalur	NNP
Gaza	NNP
.	Z
Pemerintah	NNP
Bangladesh	NNP
telah	MD
menyiagakan	VB
pasukan	NN
keamanan	NN
-nya	PRP
setelah	SC
dinas intelijen	NN
melaporkan	VB
mengenai	IN
rencana	NN
gerilyawan	NN
untuk	SC
melancarkan	VB
pengeboman	NN
saat	NN
tahun baru	NNP
Bengali	NNP
,	Z
14	CD
April	NNP
.	Z
Dinas	NN
intelijen	NN
memperingatkan	VB
pemerintah	NN
bahwa	SC
anggota	NN
pasukan	NN
bunuh	VB
diri	NN
organisasi	NN
terlarang	VB
Jamaatul	NNP
Mujahideen	NNP
Bangladesh	NNP
(	Z
NMB	NNP
)	Z
,	Z
yang	SC
dituduh	VB
sebagai	IN
pelaku	NN
serangkaian	NN
pengeboman	NN
dan	CC
serangan	NN
bunuh	VB
diri	NN
di	IN
Bangladesh	NNP
,	Z
berkumpul	VB
di	IN
ibu kota	NN
negeri	NN
itu	PR
,	Z
Dhaka	NNP
,	Z
dan	CC
kabupaten	NN
yang	SC
berdekatan	VB
guna	SC
melancarkan	VB
serangan	NN
baru	JJ
pada	IN
saat	NN
tahun baru	NNP
Bengali	NNP
,	Z
demikian	PR
laporan	NN
harian	NN
lokal	JJ
,	Z
Independen	NNP
,	Z
Sabtu	NNP
.	Z
Enam	CD
tokoh utama	NN
JMB	NNP
,	Z
termasuk	VB
pemimpin	NN
-nya	PRP
Shaikh	NNP
Abdur	NNP
Rahman	NNP
dan	CC
orang	NN
nomor	NN
dua	CD
-nya	PRP
Siddiqul	NNP
Islam	NNP
alias	NN
Bangla	NNP
Bhai	NNP
digantung	VB
pada	IN
31	CD
Maret	NNP
karena	SC
membunuh	VB
dua	CD
hakim	NN
di	IN
Bangladesh	NNP
selatan	NN
melalui	VB
serangan	NN
bom	NN
bunuh	VB
diri	NN
pada	IN
November	NNP
2005	CD
,	Z
mereka	PRP
meledakkan	VB
sebanyak	CD
500	CD
bom	NN
di	IN
seluruh	CD
negeri	NN
tersebut	PR
secara	IN
hampir	RB
bersamaan	VB
pada	IN
17	CD
Agustus	NNP
2005	CD
.	Z
JMB	NNP
telah	MD
melancarkan	VB
operasi	NN
rahasia	NN
guna	SC
mendirikan	VB
pemerintahan	NN
Islam	NNP
di	IN
Bangladesh	NNP
.	Z
Sebanyak	CD
50	CD
orang	NN
termasuk	VB
pejabat	NN
kehakiman	NN
,	Z
pengacara	NN
dan	CC
polisi	NN
tewas	VB
dan	CC
ratusan	CD
orang	NN
cedera	JJ
selama	IN
aksi	NN
kerusuhan	NN
2005	CD
.	Z
Lembaga	NN
intelijen	NN
juga	RB
telah	MD
meningkatkan	VB
pengawasan	NN
di	IN
seluruh	CD
negeri	NN
itu	PR
menyusul	VB
penggantungan	NN
pemimpin	NN
JMB	NNP
.	Z
Beberapa	CD
operasi	NN
penyisiran	NN
dilancarkan	VB
guna	SC
menangkal	VB
serangan	NN
oleh	IN
aktivis	NN
JMB	NNP
dan	CC
menangkap	VB
mereka	PRP
.	Z
Pasukan	NN
keamanan	NN
telah	MD
sangat	RB
sering	RB
menangkap	VB
anggota	NN
JMB	NNP
dari	IN
berbagai	CD
wilayah	NN
Bangladesh	NNP
selama	IN
beberapa	CD
pekan	NN
terakhir	OD
.	Z
Komisaris	NNP
Polisi	NNP
Kota	NNP
Metropolitan	NNP
Dhaka	NNP
Naim	NNP
Ahmed	NNP
mengatakan	VB
satu	CD
jaringan	NN
keamanan	NN
akan	MD
disiagakan	VB
di	IN
Taman	NNP
Ramna	NNP
dan	CC
sekitar	IN
-nya	PRP
di	IN
ibu kota	NN
negeri	NN
tersebut	PR
,	Z
Dhaka	NNP
,	Z
sehari	NN
sebelum	SC
peringatan	NN
tahun baru	NNP
pada	IN
14	CD
April	NNP
.	Z
Ribuan	CD
orang	NN
diduga	VB
akan	MD
berkumpul	VB
untuk	SC
menyambut	VB
tahun baru	NNP
Bengali	NNP
itu	PR
.	Z
Pada	IN
2001	CD
,	Z
serangan	NN
bom	NN
oleh	IN
beberapa	CD
orang	NN
tak	NEG
dikenal	VB
pada	IN
hari	NN
tahun baru	NNP
di	IN
Ramna	NNP
menewaskan	VB
sedikit	CD
-nya	PRP
10	CD
orang	NN
dan	CC
melukai	VB
banyak	CD
orang	NN
lagi	RB
.	Z
Anak-anak	NN
di	IN
seluruh	CD
Tepi	NNP
Barat	NNP
Sungai	NNP
Jordan	NNP
dan	CC
Jalur	NNP
Gaza	NNP
telah	MD
memperingati	VB
Hari	NNP
Anak	NNP
Palestina	NNP
,	Z
yang	SC
bertujuan	VB
menyoroti	VB
nasib buruk	NN
anak-anak	NN
yang	SC
tinggal	VB
di bawah	VB
pendudukan	NN
Israel	NNP
.	Z
Dalam	IN
pernyataan	NN
pers	NN
yang	SC
disiarkan	VB
pada	IN
peringatan	NN
Hari	NNP
Anak	NNP
Palestina	NNP
pekan	NN
lalu	CC
,	Z
Jaringan	NNP
Kerja	NNP
Palestina	NNP
Urusan	NNP
Hak	NNP
Anak	NNP
(	Z
PNCR	NNP
)	Z
mengatakan	VB
bahwa	SC
anak-anak	NN
Palestina	NNP
setiap	CD
hari	NN
menghadapi	VB
pelanggaran	NN
hak asasi	NN
mereka	PRP
bertolak belakang	VB
dengan	IN
hukum internasional	NN
akibat	NN
pendudukan	NN
yang	SC
terus-menerus	RB
dan	CC
agresi	NN
oleh	IN
tentara	NN
Israel	NNP
di	IN
dalam	NN
wilayah	NN
Palestina	NNP
.	Z
PNCR	NNP
menyatakan	VB
tekanan	NN
dari	IN
luar	NN
oleh	IN
